# Source: https://nihongoaz.com/3000-most-common-japanese-words.html
# Japanese,Pronunciation,English Meaning
行く,iku,go
増やす,fuyasu,increase
振る,furu,"wave, shake"
迎える,mukaeru,"welcome, receive (a visitor)"
無理,muri,"unreasonable, impossible"
珍しい,mezurashii,"rare, scarce"
有名,yuumei,famous
喜ぶ,yorokobu,"be happy, be delighted"
留学,ryuugaku,study abroad
料理,ryouri,cooking
野菜,yasai,vegetable
分かれる,wakareru,"be divided, split off"
特別,tokubetsu,special
理由,riyuu,"reason, excuse"
自由,jiyuu,freedom
方向,houkou,"direction, course"
残る,nokoru,"remain, be left over"
ビル,biru,building
まとめる,matomeru,"gather together, put in order"
流れる,nagareru,"flow, run"
セーター,se-ta-,sweater
シャツ,shatsu,shirt
洗濯,sentaku,"laundry, washing"
間違える,machigaeru,"make a mistake, fail at"
アイスクリーム,aisukuri-mu,ice cream
乾く,kawaku,become dry
冷める,sameru,cool off
色々,iroiro,a variety of
持って行く,motteiku,"take, bring"
着替える,kigaeru,change clothes
石鹸,sekken,soap
野球,yakyuu,baseball
昼食,chyuushoku,lunch
朝食,choushoku,breakfast
眠る,nemuru,"sleep, lie idle"
初め,hajime,beginning
火,hi,"fire, flame"
西,nishi,"west, western"
東,higashi,"east, eastern"
南,minami,south
夕食,yuushoku,"supper, dinner"
なかなか,nakanaka,"rather, pretty"
励ます,hagemasu,"encourage, cheer up"
涙,namida,tear
夢,yume,dream
職場,shokuba,"place of work, office"
隣,tonari,"next to, next door"
マンション,manshon,"apartment, residential building"
エレベーター,erebe-ta-,elevator
窓,mado,window
押す,osu,"push, press down"
入学,nyuugaku,"enter a school, matriculate"
戸,to,"door, sliding door"
通り,toori,"street, road"
亡くなる,nakunaru,"die, pass away"
夫婦,fuufu,"husband and wife, married couple"
女性,josei,"woman, female (formal)"
森,mori,forest
トラック,torakku,truck
レコード,reko-do,record
熱,netsu,"heat, fever"
ページ,pe-ji,page
踊る,odoru,dance
長さ,nagasa,length
厚さ,atsusa,thickness
秘密,himitsu,"secret, privacy"
凄い,sugoi,"great, incredible"
親切,shinsetsu,"kind, kindhearted"
絶対,zettai,"absolutely, never"
先月,sengetsu,last month
一昨年,ototoshi,the year before last (colloquial)
冬休み,fuyuyasumi,winter vacation
夏休み,natsuyasumi,summer vacation
休日,kyuujitsu,"day off, holiday"
正月,shougatsu,"New Year, January"
思い出,omoide,memory
たまに,tamani,"occasionally, by chance"
おかしい,okashii,"strange, peculiar"
浅い,asai,"shallow, superficial"
君,kimi,you (referring to fellows or subordinates)
奥さん,okusan,"(somone else’s) wife, married woman"
赤ちゃん,akachan,baby (colloquial)
小学生,shougakusei,elementary school student
貸す,kasu,"lend, lease"
数える,kazoeru,count
生む,umu,"give birth, produce"
育つ,sodatsu,"be brought up, grow"
是非,zehi,"by all means, please"
黒,kuro,black
おもちゃ,omocha,"toy, plaything"
靴,kutsu,shoes
連絡,renraku,"contact, communication"
伝言,dengon,message
預ける,azukeru,"deposit, leave (something) with (someone)"
下がる,sagaru,"go down, drop"
泳ぐ,oyogu,swim
アルバイト,arubaito,part-time job
コート,ko-to,"coat, jacket (loan word)"
趣味,shumi,"hobby, interest"
散歩,sanpo,"walk, stroll"
幸せ,shiawase,"happiness, satisfied (colloquial)"
安心,anshin,"peace of mind, relief"
大勢,oozei,"large numbers, a lot of (people)"
医者,isha,"doctor (colloquial, plain)"
運転手,untenshu,driver
新幹線,shinkansen,bullet train
往復,oufuku,round trip
コピー,kopi-,"copy, photocopy"
奥,oku,"inner part, the back"
重さ,omosa,weight
親しい,shitashii,"intimate, familiar"
修理,shuuri,"repair, mending"
カード,ka-do,card
挨拶,aisatsu,"greet, greeting"
階段,kaidan,"steps, flight of stairs"
配る,kubaru,"hand out, distribute"
断る,kotowaru,"refuse, turn down"
グラム,guramu,gram
濃い,koi,"strong, concentrated"
壊す,kowasu,"break (something), destroy"
桜,sakura,"cherry tree, cherry blossom"
仕方,shikata,"way, method"
絵,e,"picture, painting"
気温,kion,air temperature
品物,shinamono,"article, goods"
吸う,suu,"inhale, suck"
案内,annai,"guide, guidance"
スキー,suki-,"ski, skiing"
金持ち,kanemochi,wealthy person
尋ねる,tazuneru,"inquire, ask"
叩く,tataku,"tap, hit"
帰り,kaeri,"return, going home"
卵,tamago,egg
氷,koori,ice
留学生,ryuugakusei,student studying abroad
ソフト,sofuto,"software, program"
歯医者,haisha,dentist
蹴る,keru,kick
敷く,shiku,"lay, spread"
ひととき,hitotoki,"some moments, a while"
交通事故,koutsuujiko,traffic accident
遭う,au,"meet, encounter, get caught in"
招待,shoutai,invitation
咲く,saku,"bloom, blossom"
二十歳,hatachi,20 years old
銀,gin,silver
内側,uchigawa,"inside, interior"
池,ike,pond
石,ishi,"stone, small rock"
愛,ai,love
課,ka,"section, division"
大学院,daigakuin,graduate school
台所,daidokoro,kitchen
カラー,kara-,color (loan word)
すり,suri,pickpocket
キャンプ,kyanpu,"camping, camp"
オートバイ,o-tobai,"motorbike, motorcycle"
建つ,tatsu,"be built, be erected"
刺す,sasu,"sting, stab"
言い方,iikata,"way of speaking, expression"
沈む,shizumu,sink
組み立てる,kumitateru,"set up, put together"
恐ろしい,osoroshii,"terrible, awful"
外人,gaijin,"foreigner, alien"
牛,ushi,"cattle, cow"
食堂,shokudou,"cafeteria, restaurant"
毎年,mainen,every year (formal)
毎週,maishuu,every week
何度,nando,"how many times, how many degrees"
なかなか,nakanaka,"not easily, not readily"
さっき,sakki,"earlier, only a moment ago"
久しぶり,hisashiburi,after a long time
便利,benri,convenience
迷惑,meiwaku,"trouble, annoyance"
そんなに,sonnani,so much
びっくりする,bikkurisuru,"be surprised, be startled (casual)"
足りる,tariru,"suffice, be enough"
疲れる,tsukareru,"get tired, become fatigued"
ひどい,hidoi,"cruel, awful"
全然,zenzen,(not ) at all
猫,neko,cat
デパート,depa-to,department store (loan word)
トイレ,toire,toilet
地下鉄,chikatetsu,subway
駐車場,chuushajou,"parking area, parking lot"
ぶつかる,butsukaru,"hit, bump into"
運賃,unchin,(passenger) fare
通学,tsuugaku,commuting to school
見送る,miokuru,see (someone) off
泣く,naku,"cry, weep"
レストラン,resutoran,restaurant
メモ,memo,"memo, note"
予約,yoyaku,"reservation, appointment"
番号,bangou,assigned number
注文,chuumon,order
パン,pan,bread
ワイン,wain,wine
材料,zairyou,"material, ingredient"
豚肉,butaniku,pork
焼く,yaku,"bake, grill"
匂い,nioi,"(pleasant) smell, odor"
付ける,tsukeru,"attach, apply, put"
痩せる,yaseru,"lose weight, become thin"
届ける,todokeru,deliver
間に合う,maniau,"be in time, suffice"
向く,muku,"turn, face"
強さ,tsuyosa,strength
得意,tokui,"one’s specialty, be good at"
塗る,nuru,"spread on, paint"
投げる,nageru,throw
習う,narau,"learn, take lessons"
注目,chuumoku,"attention, notice"
未来,mirai,future
箱,hako,"box, case"
右手,migite,right hand
左手,hidarite,left hand
プール,pu-ru,pool
ピアノ,piano,piano
光る,hikaru,"shine, emit light, sparkle"
踏む,fumu,"step on, tread on"
別々,betsubetsu,separately
ボール,bo-ru,ball
握る,nigiru,"grasp, grip, hold"
真っ赤,makka,deep red
拾う,hirou,pick up
回す,mawasu,"turn, rotate (something)"
ノート,no-to,notebook (loan word)
辞める,yameru,"resign, leave (one’s job), quit"
揺れる,yureru,"shake, sway"
立派,rippa,"fine, elegant"
練習,renshuu,"practice, training"
割る,waru,"divide, split"
部分,bubun,"part, section"
拭く,fuku,"wipe, dry"
招く,maneku,invite
急,kyuu,"urgent, steep"
汚れる,yogoreru,become dirty
渡る,wataru,"cross, go across"
途中,tochuu,"on the way, half way"
インタビュー,intabyu-,interview (loan word)
盗む,nusumu,"steal, rob"
普段,fudan,"usual, ordinary"
旅館,ryokan,Japanese inn
博物館,hakubutsukan,museum
ホーム,ho-mu,platform (for short)
引っ越す,hikkosu,"move, relocate"
荷物,nimotsu,"baggage, load"
家賃,yachin,rent
計画,keikaku,plan
廊下,rouka,"hallway, corridor"
天井,tenjou,ceiling
ベッド,beddo,bed
ソファー,sofa-,"sofa, couch"
屋根,yane,roof
祭り,matsuri,festival
離婚,rikon,divorce
葉,ha,leaf
ボート,bo-to,"light boat, small craft"
燃える,moeru,"burn, catch on fire"
巻く,maku,"roll up, wrap"
プラスチック,purasuchikku,plastic
訪れる,otozureru,go and visit (place)
破る,yaburu,"tear, breach"
関係,kankei,"relation, relationship"
録音,rokuon,(sound) recording
不幸,fukou,"unhappiness, misfortune"
外国語,gaikokugo,language
着物,kimono,traditional Japanese clothes
牛乳,gyuunyuu,milk
救急車,kyuukyuusha,ambulance
果物,kudamono,fruit
間違い,machigai,"mistake, error"
映画館,eigakan,movie theater
怖い,kowai,"scary, be afraid"
鏡,kagami,mirror
草,kusa,"grass, weed"
敬語,keigo,polite speech
欠席,kesseki,absence
スイッチ,suicchi,switch
掃除,souji,cleaning
畳,tatami,straw mat
速さ,hayasa,speed
林,hayashi,"woods, forest"
プレゼント,purezento,present (loan word)
弁当,bentou,boxed lunch
いつでも,itsudemo,"at all times, any time"
寂しい,sabishii,"lonely, desolate, sad"
少しも,sukoshimo,(not) in the least
尊敬,sonkei,"respect, esteem"
テニス,tenisu,tennis
広さ,hirosa,"area, extent"
読み,yomi,reading
我慢,gaman,"patience, endurance"
国籍,kokuseki,"nationality, citizenship"
恥ずかしい,hazukashii,"embarrassed, ashamed"
ボタン,botan,button
洋服,youfuku,(western-style) clothes
油,abura,oil
おかしい,okashii,"funny, comical"
余る,amaru,"remain, be in excess"
コート,ko-to,sports court
正直,shoujiki,"honest, upright"
ドラマ,dorama,drama
ビザ,biza,visa
水道,suidou,tap water
店員,tenin,"clerk, salesperson"
電池,denchi,battery
ポケット,poketto,pocket
握手,akushu,handshake
そろそろ,sorosoro,"soon, it’s about time"
ぶどう,budou,grapes
迷う,mayou,get lost
見物,kenbutsu,"sightseeing, visit"
知らせる,shiraseru,"let know, inform"
神社,jinja,Shinto shrine
注射,chuusha,"injection, shot"
めったに,mettani,"rarely, seldom"
作文,sakubun,"composition, essay"
鳴る,naru,"sound, ring"
真面目,majime,serious and sincere
申し込む,moushikomu,"apply, sign up"
冷蔵庫,reizouko,refrigerator
気に入る,kiniiru,"like, be pleased with"
クリスマス,kurisumasu,Christmas
ネクタイ,nekutai,"tie, necktie"
誕生日,tanjoubi,birthday
独身,dokushin,"single, unmarried"
苦い,nigai,bitter
バイオリン,baiorin,violin
バッグ,baggu,bag
今まで,imamade,until now
切符,kippu,ticket
ゴム,gomu,"elastic, rubber"
少々,shoushou,"a little, a bit"
随分,zuibun,"extremely, considerably"
引っ張る,hipparu,"pull, drag"
焼ける,yakeru,"burn, cook"
鉛筆,enpitsu,pencil
会話,kaiwa,conversation
ギター,gita-,guitar
茶,cha,tea
暑さ,atsusa,heat (of weather)
胃,i,stomach
禁煙,kinen,non-smoking
丸い,marui,round
写る,utsuru,be photographed
喫茶店,kissaten,"coffee shop, café"
やっぱり,yappari,"just as I thought, after all"
週刊誌,shuukanshi,weekly magazine
棚,tana,"shelf, rack"
震える,furueru,"tremble, shake"
磨く,migaku,"polish, grind"
カーテン,ka-ten,curtain
火事,kaji,"fire, blaze"
ナイフ,naifu,knife
皆さん,minasan,"everybody, everyone (polite)"
受ける,ukeru,"receive, take, undergo"
付く,tsuku,"stick to, cling to"
私,watakushi,I (formal)
結構,kekkou,quite
悪口,warukuchi,"slander, abuse"
広まる,hiromaru,"spread, get around"
内緒,naisho,"secrecy, privacy"
つぶる,tsuburu,close (eyes)
用件,youken,"matter, things to be done"
ロマンチック,romanchikku,romantic
貯金,chokin,"savings, deposit"
バイク,baiku,motorcycle
預かる,azukaru,"take care of, keep"
オレンジ,orenji,orange
噛む,kamu,"bite, chew"
きつい,kitsui,"tight, tough"
越える,koeru,"go over, go across"
小包,kodutsumi,"parcel, package"
新年,shinnen,new year
配達,haitatsu,delivery
動物園,doubutsuen,zoo
封筒,fuutou,envelope
危ない,abunai,dangerous
テキスト,tekisuto,"text, textbook"
ビニール,bini-ru,"plastic, vinyl"
アルバム,arubamu,album
水泳,suiei,swimming
混む,komu,"be crowded, be congested"
スカート,suka-to,skirt
取れる,toreru,"come off, be removed"
ペン,pen,pen
物,mono,"thing, object"
郵便,yuubin,"mail service, postal mail"
割れる,wareru,"crack, split"
駅員,ekiin,station attendant
おしゃべり,oshaberi,"talkative, chatty"
緑色,midoriiro,green color
毎朝,maiasa,every morning
曲げる,mageru,bend (something)
きっと,kitto,"surely, certainly"
理科,rika,science (school subject)
下着,shitagi,underwear
太る,futoru,"grow fat, gain weight"
冷房,reibou,air conditioning (cooling)
別れる,wakareru,"separate, part"
空く,aku,become available or vacant
出掛ける,dekakeru,"go out, leave home"
毎晩,maiban,every evening
指輪,yubiwa,ring
腐る,kusaru,"rot, go bad"
貧乏,binbou,"poverty, destitution"
おしゃれ,oshare,"trendy, fashionable"
休憩,kyuukei,break
舌,shita,tongue
ジュース,ju-su,juice
ゼロ,zero,"zero, none (loan word)"
朝刊,choukan,morning edition paper
丁寧,teinei,"polite, careful"
苦手,nigate,"not good at, be bad at"
日,hi,"(specific) day, sun, daytime"
引っ越し,hikkoshi,moving (house)
歩道,hodou,"sidewalk, pavement"
折れる,oreru,"break, snap"
見送り,miokuri,send-off
夕刊,yuukan,evening edition paper
この間,konoaida,"the other day, not so long ago"
冷える,hieru,"cool down, get chilled"
ピンク,pinku,pink
グラス,gurasu,glass
毛,ke,"hair, down"
黒板,kokuban,blackboard
積もる,tsumoru,pile up
半年,hantoshi,half a year
現在,genzai,"the present, present time"
利用,riyou,"utilization, usage"
方法,houhou,"method, procedure"
中心,chuushin,"center (of a circle, etc.), core"
明らか,akiraka,"clear, obvious"
社長,shachou,president (of a company)
ほぼ,hobo,"almost, nearly"
商品,shouhin,"goods, commodities"
大型,oogata,"large, large scale"
限る,kagiru,be limited to
記録,kiroku,"record, documentation"
具体的,gutaiteki,"concrete, specific"
効果,kouka,"effect, result"
公開,koukai,opening (to the public)
作品,sakuhin,"work of art, creation"
迫る,semaru,"close in on, approach"
大会,taikai,"tournament, event"
背景,haikei,"background, backdrop"
文字,moji,"character, letter, writing"
規則,kisoku,"rule, regulation"
近所,kinjo,neighborhood
グラフ,gurapu,"chart, graph"
首都,shuto,capital
減らす,herasu,reduce (something)
隠れる,kakureru,hide
美術館,bijutsukan,art museum
ばか,baka,"foolish, stupid"
暇,hima,"free time, spare time"
絵葉書,ehagaki,picture postcard
あんなに,annani,"that much, such"
行き,iki,"going, bound for"
通勤,tsuukin,commute
ちゃんと,chanto,"correctly, properly"
のんびり,nonbiri,take it easy
緊張,kinchou,"tension, strain"
気付く,kiduku,"notice, realize"
物語,monogatari,"story, tale"
出口,deguchi,exit
登る,noboru,"climb, go up"
真っ白,masshiro,pure-white
下ろす,orosu,"bring down, take down"
貸し出す,kashidasu,"lend, lend out"
サッカー,sakka-,"soccer, football"
暖房,danbou,heating
手袋,tebukuro,gloves
留守,rusu,not at home
嘘,uso,lie
遠慮,enryo,"restraint, hold back"
折る,oru,"break (something), fold (something)"
スープ,su-pu,soup
バナナ,banana,banana
可哀相,kawaisou,"poor, pitiful"
パトカー,patoka-,police car
ハンバーガー,hanba-ga-,hamburger
毛布,moufu,blanket
エスカレーター,esukare-ta-,escalator
お嬢さん,ojousan,"young lady, daughter"
手帳,techou,pocket notebook
タオル,taoru,towel
売店,baiten,"booth, shop"
パチンコ,pachiko,pachinko (Japanese pinball)
謝る,ayamaru,apologize
ケーキ,ke-ki,cake
天気予報,tenkiyohou,weather forecast
変,hen,"strange, weird"
一生懸命,isshoukenmei,"hard-working, doing one’s best"
間違う,machigau,"make a mistake, be wrong"
事務室,jimushitsu,office
スーツ,su-tsu,suit
チケット,chiketto,ticket (loan word)
チョコレート,chokore-to,chocolate
脱ぐ,nugu,take off (clothes)
年賀状,nenkajou,New Year’s card
乗り物,norimono,"vehicle, transportation"
布団,futon,Japanese-style padded mattress
役に立つ,yakunitatsu,"be useful, be helpful"
破れる,yabureru,"tear, rip open"
用事,youji,"errand, business"
写す,utsusu,"copy, photograph"
腕時計,udedokei,wrist watch
贈り物,okurimono,"present, gift"
チャンネル,channeru,channel
冷やす,hiyasu,"chill (something), cool down"
片付ける,katazukeru,"put in order, clean up"
乾杯,kanpai,"toast, drink (in celebration)"
停車,teisha,stop (of a train)
鳴く,naku,"sing, cry (of animals)"
ガソリンスタンド,gasorinsutando,gas station
片道,katamichi,one way (trip)
交番,kouban,police box
大分,daibu,"greatly, fairly, highly"
デート,de-to,"date, romantic meeting"
梅雨,tsuyu,rainy season
真っ直ぐ,massugu,straight
レモン,remon,lemon
上着,uwagi,"outerwear, coat, jacket"
偉い,erai,"great, eminent"
書き方,kakikata,"how to write, way of writing"
炊く,taku,cook (rice)
チーズ,chi-zu,cheese
ドライブ,doraibu,drive (loan word)
踏切,fumikiri,railroad crossing
ラケット,raketto,racket
受付,uketsuke,"receptionist, information office"
怒る,okoru,"get angry, scold"
化粧,keshou,makeup
都合,tsugou,"convenience, availability"
ひげ,hige,"beard, moustache"
本棚,hondana,"bookshelf, bookcase"
真っ暗,makkura,pitch-dark
沸く,waku,"boil, get loud (crowd applause etc.)"
売り切れる,urikireru,"sell out, go out of stock"
押し入れ,oshiire,sliding-door closet
革,kawa,leather
ぐっすり,gussuri,soundly
紅茶,koucha,black tea
邪魔,jama,"disturbance, blocking"
ソース,so-su,sauce
足す,tasu,add (things of the same kind)
トマト,tomato,tomato
バター,bata-,butter
発車,hassha,departure (of a vehicle)
バレーボール,bare-ho-ru,volleyball
おかず,okazu,dishes to go with the rice
カレンダー,karenda-,calendar
とにかく,tonikaku,"in any case, anyway"
楽しみ,tanoshimi,"enjoyment, something looked forward to"
おしゃべり,oshaberi,"chatter, idle talk"
読書,dokusho,reading books
寒気,samuke,chill
夕焼け,yuuyake,sunset glow
傷める,itameru,"damage, hurt"
くすぐったい,kusuguttai,ticklish
泥棒,dorobou,"thief, burglar"
襖,fusuma,paper sliding door
美人,bijin,beautiful woman
タイプライター,taipuraita-,typewriter
再来年,sarainen,the year after next
冗談,joudan,joke
近付く,chikaduku,"approach, come close"
電話帳,denwachou,telephone book
ベル,beru,bell
干す（ほす）,hosu,hang (something) out to dry
金額,kingaku,"amount of money, sum"
蚊,ka,mosquito
悲しむ,kanashimu,"feel sad, lament"
クーラー,ku-ra-,air conditioner (cooling)
失礼,shitsurei,"rudeness, to excuse oneself"
洗濯機,sentakuki,"washing machine, washer"
豆腐,toufu,tofu
昼寝,hirune,nap
不便,fuben,inconvenient
ミルク,miruku,milk (loan word)
向こう側,mukougawa,other side
億,oku,hundred million
お礼,orei,"thanks, gratitude"
着せる,kiseru,dress (someone)
サラダ,sarada,salad
代える,kaeru,substitute for
四角,shikaku,square
急行,kyukou,express train
交差点,kousaten,"crossing, intersection"
覚める,sameru,"awake, wake up (naturally)"
昼休み,hiruyasumi,lunch break
ベルト,beruto,belt
真っ黒,makkuro,"black, jet-black"
皆様,minasama,"everyone, ladies and gentlemen"
ラーメン,ra-men,ramen (Chinese noodles)
ライター,raita-,lighter
ワイシャツ,waishatsu,"business shirt, dress shirt"
転ぶ,korobu,"fall down, fall over"
シャワー,shawa-,shower
扇風機,senpuuki,electric fan
遅刻,chikoku,"tardiness, lateness"
釣る,tsuru,"fish, catch"
うどん,udon,Japanese wheat noodles
仮名,kana,kana
記念日,kinenbi,"memorial day, anniversary"
下り,kudari,"downhill, going down"
掲示板,keijiban,"notice board, bulletin board"
凍る,kooru,freeze
ごみ,gomi,trash
スーパーマーケット,su-pa-ma-ketto,supermarket
ぶらぶら,burabura,"wander, walk around"
アナウンサー,anaunsa-,announcer
自炊,jisui,cooking (for oneself)
止める,tomeru,stop (something/someone)
年下,toshishita,"younger, junior"
治す,naosu,cure (something)
箸,hashi,chopsticks
花見,hanami,flower viewing
引き出し,hikidashi,drawer
訳,yaku,translation
いかが,ikaga,how
交通費,koutsuuhi,"traveling expense, transportation fee"
ステレオ,sutereo,stereo
再会,saikai,"meeting again, reunion"
滑る,suberu,"slide, slip"
早口,hayakuchi,speaking fast
裏返す,uragaesu,"turn over, turn inside out"
角,kado,"corner, edge"
きらきら,kirakira,"sparkling, glittering"
三角,sankaku,"figure, area etc."
激しい,hageshii,"violent, intense"
経営,keiei,"management, operation"
拡大,kakudai,"magnification, enlargement"
姿勢,shisei,"posture, attitude"
周辺,shuuhen,"area, region"
他,ta,other (Chinese origin)
達する,tassuru,"attain, reach"
当時,touji,at that time
当然,touzen,"natural, as a matter of course"
能力,nouryoku,"capability, performance ability of machine, etc."
判断,handan,"judgment, decision"
過ぎる,sugiru,"pass by, go past"
正確,seikaku,"accurate, precise"
戦争,sensou,war between countries
放送,housou,broadcasting
習慣,shuukan,"custom, habit"
フィルム,fuirumu,film
受け付ける,uketsukeru,"receive, accept"
ダンス,dansu,"dance, dancing (loan word)"
こんなに,konnani,"this much, such"
吹く,fuku,"blow, play (a wind instrument)"
まあ,Maa,well (interjection)
メール,me-ru,e-mail
インターネット,inta-netto,Internet
出身,shusshin,"come from, origin"
職業,shokugyou,"occupation, job"
スター,suta-,star
くだらない,kudaranai,"worthless, trifling"
名簿,Meibo,name list
通常,Tsuujou,"common, usually, typically"
家内,kanai,one’s wife
消防署,Shoubousho,fire station
再び,Futatabi,"again, a second time"
大統領,Daitouryou,president (of a country)
入場券,Nyuujouken,entrance ticket
ネックレス,nekkuresu,necklace
パジャマ,pajama,pajamas
ボールペン,Borupen,ballpoint pen
かゆい,kayui,itchy
覚ます,samasu,"awaken, wake up"
すいか,Suika,watermelon
そば,Soba,buckwheat noodles
特急,tokkyuu,super-express
のり,Nori,"glue, starch"
大抵,たいてい,"generally, mostly"
バスケットボール,basukettobo-ru,basketball
酔っ払う,yopparau,get drunk
どきどき,Dokidoki,"feel excited, feel nervous"
欲しがる,hoshigaru,"want, desire (of the third person)"
早起き,Hayaoki,getting up early
味噌汁,misoshiru,miso soup
読み方,yomikata,"how to read, way of reading"
入り口,iriguchi,entrance
降ろす,orosu,"unload, set down"
掛かる,kakaru,hang
サンドイッチ,sandoicchi,sandwich
四角い,Shikakui,square-shaped
突き当たる,tsukiataru,"run into, come to the end (of a road)"
乾かす,kawakasu,dry (something)
定期券,Teikiken,commuter pass
にこにこ,nikoniko,"smilingly, keep smiling"
下る,kudaru,"go down, go away from"
ウール,wu-ru,wool
コーラ,ko-ra,"cola, coke"
トイレットペーパー,Toirettopepa,toilet paper
乗り換え,norikae,"transfer, change (trains)"
灰皿,haizara,ashtray
ハム,hamu,ham
床,yuka,floor
ローマ字,Ro-maji,Roman alphabet
いちご,ichigo,strawberry
カレーライス,kareaisu,curry rice
キャッシュカード,Kyasshukado,cash card
停留所,teiryuujo,(bus) stop
床屋,tokoya,"barber, barbershop"
歯磨き,hamigaki,brushing one’s teeth
夕飯,ゆうはん,"evening meal, dinner"
酔っ払い,yopparai,"drunkard, drunk"
例,Rei,example
お辞儀,Ojigi,bow
横断歩道,Oudan hodou,"pedestrian crossing, crosswalk"
ぐらぐら,guragura,"shaky, unstable"
航空便,Koukuubin,"airmail, airfreight"
ジャム,Jamu,jam
スリッパ,Surippa,slippers
畳む,tatamu,"fold, shut, close"
トランプ,toranpu,playing cards
日陰,hikage,shade of the sun
文房具,bunbougu,"stationery, writing materials"
免許証,menkyoshou,license
訳す,yakusu,translate
よろしい,yoroshii,all right
両替,ryougae,money exchange
片付く,kataduku,"be put in order, be finished"
カップ,kappu,cup
消しゴム,keshigomi,eraser
スケート,suketo,"skate, skates"
鍋,nabe,pan
寝坊,nebou,oversleeping
鋏,hasami,scissors
真っ青,massao,"deep-blue, pale"
汚す,yogosu,make (something) dirty
忘れ物,wasuremono,"something left behind, lost item"
掛け算,kakezan,multiplication
臭い,kusai,stinky
突き当たり,tsukiatari,end of a street
マフラー,mafura-,"scarf, muffler"
桃,momo,peach
アクセサリー,akusesari-,"accessories, jewelry"
あくび,akubi,yawn
あめ,ame,candy
上り,nobori,"going up, ascent"
なるべく,narubeku,"as…as possible, if possible"
じっと,jitto,"without moving, still"
食器,shokki,tableware
延ばす,nobasu,"extend, postpone"
薬局,yakkyoku,"drugstore, pharmacy"
雄,osu,male (animal)
雌,mesu,female (animal)
和風,wafuu,Japanese inspired
いびき,ibiki,snoring
ピクニック,pikunikku,picnic
地域,chiiki,"region, area"
勘違い,kanchigai,"misunderstanding, wrong idea or assumption"
重要,juuyou,"important, essential"
主人,shujin,"one’s husband, master"
お宅,otaku,(someone else’s) home
ハイキング,haikingu,hiking
畑,hatake,"field, farm"
ボーイフレンド,boifurendo,boyfriend
イヤリング,iyaringu,earrings
ガールフレンド,ga-rufurendo,girlfriend
柔らか,yawaraka,"soft, gentle"
納豆,natto,fermented soybeans
別に,Betsuni,"particularly, not really"
どうしても,Doushitemo,"by any means, really"
父親,chichioya,father
誘う,sasou,"invite, ask out"
母親,hahaoya,"mother, female parent"
昼前,hirumae,"in the morning, before noon"
ふらふら,furafura,"be dizzy, lightheaded"
こぼす,kobosu,spill (something)
持ってくる,mottekuru,bring
振り向く,Furimuku,"turn around, look back"
洗面所,Senmenjou,"washroom, bathroom"
外側,sotogawa,"exterior, outside"
段々,dandan,"gradually, little by little"
包む,tsutsumu,"wrap, pack"
無くなる,nakunaru,"get lost, go missing"
豚,buta,pig
褒める,homeru,"praise, compliment"
沸かす,wakasu,boil (water)
暖める,atatameru,warm (something) up
換える,kaeru,"exchange, convert"
安っぽい,yasuppoi,"cheap-looking, tacky"
ぎらぎら,giragira,"glaring, blinding"
何とか,nantoka,"somehow, please"
いよいよ,iyoiyo,"finally, any moment"
がらがら,garagara,not crowded
缶詰,kantzume,canned food
怪我,kega,injury
寒さ,samusa,"coldness, cold"
祝日,shukujitsu,holiday
すき焼き,Sukiyaki,sukiyaki
葉書,hagaki,postcard
掃く,haku,sweep
何しろ,nanishiro,"anyhow, as you may know"
どんどん,dondon,"quickly, rapidly"
ぺこぺこ,pekopeko,"hungry, starving"
ぺらぺら,perapera,fluently
レインコート,reinkoto,raincoat
アイス,aisu,ice cream (for short)
塩辛い,shiokarai,salty
セロテープ,serote-pu,scotch tape
大幅,oohaba,"drastically, substantially"
教育,Kyouiku,education
工事,Kouji,"construction, repairing"
担当,tantou,person in charge (of official duties)
法律,Houritsu,law
丸,maru,"circle, round"
発表,happyo,announcement
研究,kenkyuu,"research, study"
一方,ippou,"one way, the other party"
国内,kokunai,"domestic, internal"
全体,zentai,"whole, total"
後,nochi,"after, afterward"
人間,ningen,human being
刺身,sashimi,sliced raw fish or meat
ばら,Bara,rose
ねずみ,nezumi,"rat, mouse"
以下,ika,below
昔,mukashi,"old times, the old days"
訳,wake,"reason, sense"
違い,chigai,"difference, mistake"
しっかり,shikkari,"mature, responsible"
将来,Shourai,"future, in the future"
不思議,fushigi,"mystery, wonder"
決して,kesshite,"never, by no means"
失敗,shippai,"failure, mistake"
番,ban,"one’s turn, watch"
出会う,deau,"meet, encounter"
悩む,nayamu,"be troubled, suffer"
汗,ase,sweat
すっかり,sukkari,"all, completely"
代わり,kawari,"substitution, alternative"
一言,hitokoto,"single word, brief speech"
豊か,yutaka,"rich, ample"
接続,setsuzoku,"connection, joining"
抱える,kakaeru,hold in one’s arms
エンジン,enjin,engine
少女,shoujo,young girl
無駄,muda,"pointless, waste"
自動,jidou,automatic operation
先輩,senpai,"senior, superior"
眺める,nagameru,"look out, gaze"
書類,Shorui,"documents, papers"
年月,nengetsu,"years, period of time"
燃やす,moyasu,burn (something)
線路,senro,"railway track, line"
水着,mizugi,"bathing suit, swimsuit"
可愛らしい,kawairashii,"lovely, charming"
仲良し,nakayoshi,good friend
梅干し,umeboshi,pickled plum
ドレス,doresu,formal dress
